Intensity(µW/cm2/nm),Mac,,,,,,iOS,,,,,,,,
Wavelength,Full Brightness White Screen,Minimum Brightness White Screen,Full Brightness (1200K),Minimum Brightness (1200K),"Black, max brightness","Black, min brightness",White,White Medium,White Darkest,Black: Bright,Black: Medium,"Black, Blackest",Red,Red (Med),Red (Dark)
233.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
